año,poblacion
1950,793823
1951,822536
1952,859311
1953,899043
1954,940660
1955,983096
1956,1025272
1957,1066204
1958,1105128
1959,1141814
1960,1176844
1961,1211602
1962,1248019
1963,1287711
1964,1330563
1965,1374166
1966,1416028
1967,1455983
1968,1494423
1969,1530709
1970,1565463
1971,1598139
1972,1623997
1973,1638548
1974,1641993
1975,1637890
1976,1631169
1977,1626495
1978,1627104
1979,1633320
1980,1641925
1981,1648729
1982,1650955
1983,1647138
1984,1637258
1985,1623411
1986,1608460
1987,1594953
1988,1584542
1989,1577306
1990,1571936
1991,1566098
1992,1556526
1993,1540772
1994,1519080
1995,1495469
1996,1473983
1997,1454749
1998,1437011
1999,1421853
2000,1406760
2001,1392534
2002,1391434
2003,1414989
2004,1461928
2005,1522417
2006,1582491
2007,1627475
2008,1646723
2009,1638959
2010,1615926
2011,1590717
2012,1565966
2013,1540604
2014,1515655
2015,1489234
2016,1459655
2017,1428812
2018,1399203
2019,1371079
